Date,Open,High,Low,Close
2018-07-11,6306.87,6405.59,6293.68,6394.36
2018-07-12,6394.36,6394.93,6084.0,6253.6
2018-07-13,6253.66,6349.21,6131.54,6229.83
2018-07-14,6229.61,6332.46,6190.18,6268.75
2018-07-15,6268.32,6401.5,6245.75,6364.26
2018-07-16,6364.26,6761.84,6349.83,6740.55
2018-07-17,6740.54,7476.24,6677.56,7326.7
2018-07-18,7326.76,7590.65,7253.71,7383.39
2018-07-19,7383.39,7563.7,7289.9,7477.5
2018-07-20,7477.1,7676.55,7279.34,7333.93
2018-07-21,7333.93,7453.07,7220.37,7405.4
2018-07-22,7405.4,7569.28,7345.25,7398.64
2018-07-23,7398.64,7798.59,7376.66,7718.0
2018-07-24,7718.0,8485.71,7692.16,8395.82
2018-07-25,8395.81,8481.11,8061.07,8170.23
2018-07-26,8170.37,8302.24,7862.67,7937.25
2018-07-27,7937.1,8278.01,7806.25,8182.89
2018-07-28,8182.88,8238.04,8070.04,8230.87
2018-07-29,8230.82,8291.55,8123.53,8216.78
2018-07-30,8216.7,8273.61,7867.44,8176.06
2018-07-31,8176.08,8176.27,7663.7,7735.3
2018-08-01,7736.25,7760.74,7449.31,7610.9
2018-08-02,7610.9,7713.32,7470.86,7542.34
2018-08-03,7542.34,7542.49,7296.76,7417.6
2018-08-04,7417.6,7490.89,6940.15,7017.89
2018-08-05,7017.89,7092.53,6898.31,7042.39
2018-08-06,7042.57,7160.4,6854.79,6945.78
2018-08-07,6945.77,7150.86,6685.02,6723.21
2018-08-08,6723.29,6723.99,6133.03,6285.02
2018-08-09,6285.06,6631.23,6195.02,6543.24
2018-08-10,6543.25,6582.14,6025.91,6153.41
2018-08-11,6152.95,6488.55,6014.26,6242.54
2018-08-12,6242.53,6483.39,6176.89,6322.92
2018-08-13,6322.41,6545.02,6157.03,6263.2
2018-08-14,6263.2,6266.5,5891.87,6199.6
2018-08-15,6199.63,6620.07,6193.63,6274.22
2018-08-16,6274.22,6478.07,6217.33,6323.81
2018-08-17,6323.81,6594.72,6300.45,6591.16
2018-08-18,6591.18,6622.16,6322.44,6405.71
2018-08-19,6405.74,6560.88,6330.56,6502.18
2018-08-20,6502.24,6537.54,6248.39,6269.9
2018-08-21,6270.09,6506.69,6259.81,6491.11
2018-08-22,6491.09,6890.79,6264.34,6366.13
2018-08-23,6366.14,6575.28,6356.96,6538.95
2018-08-24,6539.13,6736.83,6481.76,6708.96
2018-08-25,6708.94,6808.89,6684.19,6749.56
2018-08-26,6749.71,6793.17,6588.48,6720.6
2018-08-27,6720.6,6944.21,6674.84,6915.73
2018-08-28,6915.92,7136.71,6877.2,7091.38
2018-08-29,7091.38,7137.47,6944.76,7052.0
2018-08-30,7051.61,7072.64,6818.69,6998.76
2018-08-31,6998.76,7096.73,6903.08,7026.96
2018-09-01,7026.96,7272.03,7025.58,7203.46
2018-09-02,7203.46,7384.38,7144.71,7301.26
2018-09-03,7301.25,7350.58,7204.89,7270.05
2018-09-04,7270.05,7417.65,7246.76,7369.86
2018-09-05,7369.89,7401.43,6694.06,6705.03
2018-09-06,6705.06,6727.19,6295.11,6515.42
2018-09-07,6515.42,6549.39,6345.48,6411.78
2018-09-08,6413.12,6480.57,6134.76,6200.16
2018-09-09,6200.23,6451.25,6161.83,6249.07
2018-09-10,6249.07,6371.42,6247.64,6324.43
2018-09-11,6324.43,6415.51,6199.19,6295.54
2018-09-12,6295.54,6357.89,6208.28,6337.11
2018-09-13,6337.08,6534.89,6337.08,6492.0
2018-09-14,6492.17,6591.59,6393.84,6486.01
2018-09-15,6485.39,6573.19,6473.47,6522.08
2018-09-16,6522.68,6525.05,6404.31,6502.44
2018-09-17,6502.44,6538.82,6216.83,6261.48
2018-09-18,6261.33,6393.39,6238.25,6346.44
2018-09-19,6346.44,6522.9,6131.02,6398.8
2018-09-20,6398.83,6551.93,6361.33,6505.9
2018-09-21,6505.97,6785.22,6501.01,6762.06
2018-09-22,6762.07,6834.49,6633.01,6716.6
2018-09-23,6716.6,6768.56,6663.9,6702.7
2018-09-24,6702.73,6717.6,6557.82,6583.53
2018-09-25,6583.53,6583.54,6333.21,6437.74
2018-09-26,6437.74,6543.92,6383.16,6462.6
2018-09-27,6462.6,6733.94,6434.76,6686.13
2018-09-28,6686.13,6806.1,6545.41,6635.38
2018-09-29,6635.4,6635.42,6474.23,6603.75
